STID;Sample_IDs;CombID;Host;Inoculant;Condition;Salt_conc;Soil;Media;Rreplicate;Picture;Root_tube;Nodule_Tube;RootCondition;PlantCondition_bin;PHID;Number_of_branch;Number_of_leaf;Length;RootLength;PotCondition;PlantCondition;Inoculant_Condition;Host_Inoculant_Condition;Project;ExperimentField;Collected_data_sereal;Type;Inoculant_Collected_day;Date entered;;;;
STID2;MB817;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1095;1095;Good;Good;PH817;1;4;22,31859;62,67732;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB818;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1096;1096;Good;Good;PH818;1;2;11,89779;30,70421;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB819;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1097;1097;Good;Good;PH819;1;4;15,61669;64,55078;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB820;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1098;1098;Good;Good;PH820;1;4;9,80318;33,52853;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB821;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1099;1099;Good;Good;PH821;1;3;12,43527;40,64465;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB822;28;MG63;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;1;1100;1100;Good;Good;PH822;1;4;9,12902;26,11399;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB823;87;MG63;MC3;SALT;Salt:150;Vermiculite;B_and_D;2;2;1101;1101;Good;Good;PH823;1;3;7,41316;50,2532;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB824;87;MG63;MC3;SALT;Salt:150;Vermiculite;B_and_D;2;2;1102;1102;Good;Good;PH824;1;2;13,42639;90,22336;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB825;87;MG63;MC3;SALT;Salt:150;Vermiculite;B_and_D;2;2;1103;1103;Good;Good;PH825;1;3;15,18516;85,12821;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB826;87;MG63;MC3;SALT;Salt:150;Vermiculite;B_and_D;2;2;1104;1104;Good;Good;PH826;1;2;13,05172;56,4691;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
