SampleID	Description	Experiment	Genotype	Inoculation	Compartment	Time	DPI	Bio_rep
Input_SC.ML_t0_B1	Input_SC+ML_t0_B1	 	NA	SC+ML	Input	0	0_dpi	1
Input_SC.ML_t0_B2	Input_SC+ML_t0_B2	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	2
Input_SC.ML_t0_B3	Input_SC+ML_t0_B3	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	3
Input_SC.ML_t0_B4	Input_SC+ML_t0_B4	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	4
Input_conc_SC.ML_t0_B1	Input_conc_SC+ML_t0_B1	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	1
Input_conc_SC.ML_t0_B2	Input_conc_SC+ML_t0_B2	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	2
Input_conc_SC.ML_t0_B3	Input_conc_SC+ML_t0_B3	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	3
Input_conc_SC.ML_t0_B4	Input_conc_SC+ML_t0_B4	Timecourse&Transcriptome	NA	SC+ML	Input	0	0_dpi	4
G_SC.ML_RZ_t1_B1	G_SC+ML_RZ_t1_B1	Timecourse	Gifu	SC+ML	RZ	1	1_dpi	1
G_SC.ML_RZ_t1_B2	G_SC+ML_RZ_t1_B2	Timecourse	Gifu	SC+ML	RZ	1	1_dpi	2
G_SC.ML_RZ_t1_B3	G_SC+ML_RZ_t1_B3	Timecourse	Gifu	SC+ML	RZ	1	1_dpi	3
G_SC.ML_RZ_t1_B4	G_SC+ML_RZ_t1_B4	Timecourse	Gifu	SC+ML	RZ	1	1_dpi	4
G_SC.ML_ES_t1_B1	G_SC+ML_ES_t1_B1	Timecourse	Gifu	SC+ML	ES	1	1_dpi	1
G_SC.ML_ES_t1_B2	G_SC+ML_ES_t1_B2	Timecourse	Gifu	SC+ML	ES	1	1_dpi	2
G_SC.ML_ES_t1_B3	G_SC+ML_ES_t1_B3	Timecourse	Gifu	SC+ML	ES	1	1_dpi	3
G_SC.ML_ES_t1_B4	G_SC+ML_ES_t1_B4	Timecourse	Gifu	SC+ML	ES	1	1_dpi	4
G_SC.ML_RZ_t2_B1	G_SC+ML_RZ_t2_B1	Timecourse	Gifu	SC+ML	RZ	2	2_dpi	1
G_SC.ML_RZ_t2_B2	G_SC+ML_RZ_t2_B2	Timecourse	Gifu	SC+ML	RZ	2	2_dpi	2
G_SC.ML_RZ_t2_B3	G_SC+ML_RZ_t2_B3	Timecourse	Gifu	SC+ML	RZ	2	2_dpi	3
G_SC.ML_RZ_t2_B4	G_SC+ML_RZ_t2_B4	Timecourse	Gifu	SC+ML	RZ	2	2_dpi	4
G_SC.ML_ES_t2_B1	G_SC+ML_ES_t2_B1	Timecourse	Gifu	SC+ML	ES	2	2_dpi	1
G_SC.ML_ES_t2_B2	G_SC+ML_ES_t2_B2	Timecourse	Gifu	SC+ML	ES	2	2_dpi	2
G_SC.ML_ES_t2_B3	G_SC+ML_ES_t2_B3	Timecourse	Gifu	SC+ML	ES	2	2_dpi	3
G_SC.ML_ES_t2_B4	G_SC+ML_ES_t2_B4	Timecourse	Gifu	SC+ML	ES	2	2_dpi	4
G_SC.ML_RZ_t3_B1	G_SC+ML_RZ_t3_B1	Timecourse	Gifu	SC+ML	RZ	3	3_dpi	1
G_SC.ML_RZ_t3_B2	G_SC+ML_RZ_t3_B2	Timecourse	Gifu	SC+ML	RZ	3	3_dpi	2
G_SC.ML_RZ_t3_B3	G_SC+ML_RZ_t3_B3	Timecourse	Gifu	SC+ML	RZ	3	3_dpi	3
G_SC.ML_RZ_t3_B4	G_SC+ML_RZ_t3_B4	Timecourse	Gifu	SC+ML	RZ	3	3_dpi	4
G_SC.ML_ES_t3_B1	G_SC+ML_ES_t3_B1	Timecourse	Gifu	SC+ML	ES	3	3_dpi	1
G_SC.ML_ES_t3_B2	G_SC+ML_ES_t3_B2	Timecourse	Gifu	SC+ML	ES	3	3_dpi	2
G_SC.ML_ES_t3_B3	G_SC+ML_ES_t3_B3	Timecourse	Gifu	SC+ML	ES	3	3_dpi	3
G_SC.ML_ES_t3_B4	G_SC+ML_ES_t3_B4	Timecourse	Gifu	SC+ML	ES	3	3_dpi	4
G_SC.ML_RZ_t5_B1	G_SC+ML_RZ_t5_B1	Timecourse	Gifu	SC+ML	RZ	5	5_dpi	1
G_SC.ML_RZ_t5_B2	G_SC+ML_RZ_t5_B2	Timecourse	Gifu	SC+ML	RZ	5	5_dpi	2
G_SC.ML_RZ_t5_B3	G_SC+ML_RZ_t5_B3	Timecourse	Gifu	SC+ML	RZ	5	5_dpi	3
G_SC.ML_RZ_t5_B4	G_SC+ML_RZ_t5_B4	Timecourse	Gifu	SC+ML	RZ	5	5_dpi	4
G_SC.ML_ES_t5_B1	G_SC+ML_ES_t5_B1	Timecourse	Gifu	SC+ML	ES	5	5_dpi	1
G_SC.ML_ES_t5_B2	G_SC+ML_ES_t5_B2	Timecourse	Gifu	SC+ML	ES	5	5_dpi	2
G_SC.ML_ES_t5_B3	G_SC+ML_ES_t5_B3	Timecourse	Gifu	SC+ML	ES	5	5_dpi	3
G_SC.ML_ES_t5_B4	G_SC+ML_ES_t5_B4	Timecourse	Gifu	SC+ML	ES	5	5_dpi	4
G_SC.ML_RZ_t7_B1	G_SC+ML_RZ_t7_B1	Timecourse	Gifu	SC+ML	RZ	7	7_dpi	1
G_SC.ML_RZ_t7_B2	G_SC+ML_RZ_t7_B2	Timecourse	Gifu	SC+ML	RZ	7	7_dpi	2
G_SC.ML_RZ_t7_B3	G_SC+ML_RZ_t7_B3	Timecourse	Gifu	SC+ML	RZ	7	7_dpi	3
G_SC.ML_RZ_t7_B4	G_SC+ML_RZ_t7_B4	Timecourse	Gifu	SC+ML	RZ	7	7_dpi	4
G_SC.ML_ES_t7_B1	G_SC+ML_ES_t7_B1	Timecourse	Gifu	SC+ML	ES	7	7_dpi	1
G_SC.ML_ES_t7_B2	G_SC+ML_ES_t7_B2	Timecourse	Gifu	SC+ML	ES	7	7_dpi	2
G_SC.ML_ES_t7_B3	G_SC+ML_ES_t7_B3	Timecourse	Gifu	SC+ML	ES	7	7_dpi	3
